1. 失血性休克的“5P”临床表现不正确的是
   A. 正常人的80%
   B. 正常人的50%～70%
   C. 正常人的30%～50%
 ->D. ＜正常人的30%
   E. 正常人的40%
解析：全血ChE活力70～50%为轻度中毒，50～30%为中度中毒，&lt;30%为重度中毒。

624. 不属于眼球内容物的结构是
 ->A. 角膜
   B. 前房水
   C. 晶状体
   D. 玻璃体
   E. 后房水

625. 生化反应疑为沙门菌或志贺菌的细菌与特异性血清不出现凝集反应时，要考虑选取下列哪种方法再进行试验
   A. 增加特异性血清的浓度
   B. 增加用于反应的菌体量
   C. 降低反应温度
 ->D. 加热除去细菌表面抗原
   E. 更换试剂

626. 以下关于代谢性碱中毒合并呼吸性碱中毒的血气表现，哪项错误
   A. pH明显增高
 ->B. BE负值增加
   C. AB<SB
   D. PaCO<sub>2</sub>，下降
   E. HCO<sub>3</sub><sup>-</sup>增高

627. 关于抑制性突触后电位产生过程的描述，错误的是
   A. 突触前轴突末梢去极化
   B. Ca<sup>2+</sup>由膜外进入突触前膜内
   C. 突触小泡释放递质，并与突触后膜受体结合
   D. 突触后膜对Cl<sup>-</sup>或K<sup>+</sup>的通透性升高
 ->E. 突触后膜膜电位增大，引起突触后神经元发放冲动

628. 中毒的一般处理方法不包括
   A. 清除未吸收的毒物
   B. 加速药物排泄，减少药物吸收
 ->C. 对昏迷状态的病人催吐
   D. 使用特殊解毒剂
   E. 支持对症治疗

629. 属于下呼吸道的是
   A. 鼻
   B. 口咽
   C. 喉
 ->D. 气管
   E. 喉咽

630. 盆腔脓肿诊断常用的辅助检查方法不包括
   A. B超
   B. 盆腔CT
 ->C. 腹部X线平片
   D. 后穹隆穿刺
   E. 直肠指检

631. 常见的气胸多继发于肺部疾病，其中哪种疾病最常见
   A. 支气管哮喘
   B. 支气管扩张
 ->C. 慢性阻塞性肺病
   D. 胸膜上具有异位子宫内膜
   E. 肺癌

632. 哪项不是颈外动脉的直接分支
   A. 甲状腺上动脉
   B. 舌动脉
 ->C. 脑膜中动脉
   D. 颞浅动脉
   E. 面动脉

633. 如图所示，a图为正常PetCO<sub>2</sub>波形，b图中虚线A、B和C分别代表异常的PetCO<sub>2</sub>波形，下列描述错误的是<img src="https://exam.mvwchina.com/upload/2018/12/20/a02f3b94452f47d9b3baba3c38c80aa4.jpg">
   A. B线见于妊娠和极度肥胖者
   B. C线说明有重复吸入
 ->C. β角增大反映V/Q的异常
   D. α角度的大小反映V/Q的变化
   E. A线为肺疾患时的异常变化（多见于哮喘）

634. 下列关于急性全脑缺血说法，错误的是
   A. 心脏恢复搏动，恢复脑血流灌注后，脑损害仍在继续
   B. 恢复脑血流后，重新获得氧作为酶促氧化反应的底物，线粒体功能障碍，产生再氧合损伤
   C. 再氧合损伤导致线粒体损伤和DNA断裂
 ->D. 易受损脑部位的易受损神经元发生液化性坏死
   E. 最容易受累部位包括大脑皮质的投射神经元、小脑浦肯野细胞和海马的CA-1区域

635. 血液凝固的内源性途径与外源性途径的主要区别是
   A. 有无血小板参与
   B. 有无Ca<sup>2+</sup>参与
   C. 凝血酶激活过程
 ->D. 因子X的激活过程
   E. 纤维蛋白形成过程

636. 下列关于低体温叙述何者错误
   A. 低体温患者常合并败血症或低血糖
   B. 大量输液或输血患者易发生低体温
   C. 32℃以下，心律失常危险性随体温降低而增加
 ->D. 低体温患者插管适应证，与一般患者插管适应证不同
   E. 有肾上腺功能低下病史，应考虑给予氢化可的松100 mg静脉注射

637. 急性心包填塞时最快最有效的措施为
   A. 病因治疗
   B. 使用镇静剂
   C. 心包切除术
 ->D. 心包穿刺抽液
   E. 使用血管扩张剂

638. 心输出量增多，外周阻力降低可见于
   A. 失血性休克
   B. 创伤性休克
   C. 烧伤性休克
   D. 心源性休克
 ->E. 感染性休克
解析：创伤、失血或烧伤休克患者多因容量缺失及机体代偿，出现心输出量减少，早期循环阻力增加。心源性休克则为低排高阻性，感染性休克早期主要表现为高排低阻性休克。

639. 人在患病后，有权选择愿意接受或拒绝医生制定的诊治方案，这种权利是
   A. 自主原则的体现
   B. 有利原则的体现
 ->C. 尊重原则的体现
   D. 公正原则的体现
   E. 不伤害原则的体现

640. 关于医学伦理学道德的评价方式中描述正确的是
   A. 以医师的良心评价
   B. 以医师的名誉评价
   C. 是否认真工作为评价方式
   D. 是否为患者解决疾病作为评价方式
 ->E. 良心和名誉两种方式

641. 细胞凋亡的诱导因素不包括
   A. 激素和生长因子失衡
 ->B. EB病毒
   C. 理化因素
   D. 免疫因素
   E. HIV

642. 诊断静脉血栓的金标准是
   A. 放射性核素下静脉显影
   B. 多普勒血管超声检查
   C. 肢体电阻抗容积描记
   D. MR静脉造影
 ->E. X线静脉造影

643. 成人心肺复苏时打开气道的最常用方式为
 ->A. 仰头举颏法
   B. 双手推举下颌法
   C. 托颏法
   D. 环状软骨压迫法
   E. 以上均可

644. 有机磷农药中毒所致急性肺水肿抢救首选
   A. 呋塞米
   B. 毛花苷丙
 ->C. 阿托品
   D. 解磷定
   E. 吗啡

645. 电复律和电除颤的适应证不包括
   A. 房颤
 ->B. 严重电解质紊乱引起的室性心动过速
   C. 房扑
   D. 室上性心动过速
   E. 室颤

646. 下列属物理性创伤原因的是
   A. 机械暴力
   B. 电击伤
   C. 高温灼伤
   D. 火器伤
 ->E. 以上都是

647. 评价脑干功能最常使用
   A. 脑电图
   B. 体感诱发电位
 ->C. 听觉诱发电位
   D. 视觉诱发电位
   E. 事件相关电位

648. 对冠脉血流量进行调节的各种因素中，最重要的是
 ->A. 心肌本身的代谢水平
   B. 交感神经的兴奋程度
   C. 迷走神经的兴奋程度
   D. 肾上腺素和去甲肾上腺素的多少
   E. 血管紧张素的多少

649. 能促进骨髓中多能造血干细胞定向分化与增殖的IL是
   A. IL-1
   B. IL-2
 ->C. IL-3
   D. IL-4
   E. IL-5

650. 正常成年人体液总量约占体重的
   A. 40%
   B. 50%
 ->C. 60%
   D. 70%
   E. 80%

651. 下肢水肿寻找原因时，鉴别右心衰竭与肝硬化的最重要的症状或体征是
   A. 肝大
   B. 双下肢凹陷性水肿
 ->C. 肝颈静脉回流征阳性
   D. 食欲减退、恶心、呕吐
   E. 腹水形成

652. 创伤性连枷胸是指
   A. 双肋骨骨折
   B. 多根肋骨骨折
   C. 多处肋骨骨折
   D. 两侧胸部多根肋骨骨折
 ->E. 多根多处肋骨骨折

653. 免疫球蛋白IgG、IgA、IgM 的定量测定可采用
   A. 单向琼脂扩散法
   B. 散射免疫比浊法
   C. ELISA法
   D. RIA法
 ->E. 以上四种方法均可

654. 有关细胞凋亡正确的描述是
   A. 由严重损伤因素所致的细胞死亡
 ->B. 是细胞主动的程序性死亡
   C. 细胞凋亡的主要执行者是凋亡蛋白酶
   D. 细胞凋亡后溶酶体破裂，形成炎症反应
   E. 以上均不对

655. 关于ARDS患者的机械通气策略，下列哪项不正确
   A. 小潮气量通气
 ->B. 常规俯卧位通气
   C. 限制吸气平台压
   D. 使用低水平PP
   E. 对机械通气患者制定撤机方案
解析：B项的俯卧位通气是在常规通气策略无法改善氧合情况时的一个选项，并非常用通气策略，而ACDE项均为ARDS患者的机械通气策略，故选B。

656. 根据医德教育的（ ），应大力宣传医务人员中的先进人物和先进事迹
   A. 目的性原则
   B. 理论联系实际原则
 ->C. 正面引导原则
   D. 因人施教原则
   E. 公开、公平原则

657. 下述各项均是多器官功能障碍综合征（M0DS）的特点，除了
 ->A. 发病24h以内出现
   B. 两个或两个以上器官受累
   C. 序贯性进行性发生
   D. 呼吸系统功能衰竭常较早发生
   E. 死亡率与衰竭的器官数目成正比

658. 中间综合征常发生在有机磷农药中毒后
   A. 4～24小时
 ->B. 48～96小时
   C. 7～9天
   D. 12～24天
   E. 30～60天

659. 原发性肺动脉高压患者血气分析异常，最常见的变化为
   A. 呼吸性酸中毒，低氧血症
   B. 代谢性酸中毒，低氧血症
 ->C. 呼吸性碱中毒，低氧血症
   D. 呼吸性酸中毒合并代谢性酸中毒
   E. 代谢性酸中毒

660. 窦性心动过缓很少见于下列哪种临床情况
 ->A. 贫血
   B. 运动员
   C. 甲状腺功能减退症
   D. 正常健康人
   E. 急性下壁心肌梗死

661. 属于面肌的是
 ->A. 眼轮匝肌
   B. 颞肌
   C. 咬肌
   D. 颈阔肌
   E. 上睑提肌

662. 对于重症胰腺炎诊断分级描述何项正确
 ->A. Ranson评分≥3分，APACHEⅡ评分≥8分，BaithazarCT分级Ⅱ级以
   B. Ranson评分≥2分，APACHEⅡ评分≥8分，BalthazarCT分级Ⅱ级以上
   C. Ranson评分≥3分，APACHEⅡ评分≥7分，BalthazarCT分级Ⅱ级以上
   D. Ranson评分≥3分，APACHEⅡ评分≥6分，BalthazarCT分级Ⅱ级以上
   E. 以上都不是

663. 休克时易发生的酸碱失衡类型是
   A. 代谢性碱中毒
   B. 呼吸性酸中毒
 ->C. 代谢性酸中毒
   D. 呼吸性碱中毒
   E. 以上均不是
解析：微循环障碍导致局部组织缺氧，无氧代谢增加，产生大量酸性物质，故代谢性酸中毒多见。

664. 最常伴发急性左心衰竭的疾病是
   A. 肺梗死
   B. 室间隔缺损
   C. 肺动脉瓣狭窄
 ->D. 急进性高血压
   E. 主动脉窦瘤破裂入右心室
解析：肺梗死、室间隔缺损、肺动脉瓣狭窄、主动脉窦瘤破裂入右心室等病变常伴发的是右心功能衰竭。而急进性高血压患者主要引起左心室负荷急剧增加，从而导致急性左心功能衰竭。

665. 肾上腺危象中，激素的分泌可发生下列哪种变化
 ->A. 肾上腺素、醛固酮分泌减少，ACTH升高
   B. 肾上腺素、醛固酮分泌升高，ACTH降低
   C. 肾上腺素、醛固酮、ACTH分泌均减少
   D. 肾上腺素、醛固酮、ACTH均升高
   E. 肾上腺素分泌减少，醛固酮、ACTH分泌升高

666. 以下关于MODS的诊断要点，错误的是
   A. 存在MODS的基础病因
   B. 继发受损器官可在远隔原发损伤部化
   C. 出现两个或两个以上的急性器官功能障碍
   D. 机体原有器官功能基本健康
 ->E. 功能损害多不可逆

667. 肾性急性肾衰竭的临床特点中下列哪项不存在
   A. 少尿
   B. 无尿
 ->C. 尿钠浓度降低
   D. 等渗尿
   E. 管型尿

668. 急性上消化道出血使用抗酸药，提高胃内pH至多少为宜
   A. ≥2
   B. ≥3
   C. ≥4
   D. ≥5
 ->E. ≥6

669. 属于男性运输精子管道的器官是
 ->A. 附睾
   B. 前列腺
   C. 精囊
   D. 尿道球
   E. 尿道球腺

670. 诊断气胸最重要的检查方法是
 ->A. X线胸片检查
   B. 肺功能检查
   C. 胸部CT
   D. 胸腔内测压
   E. 支气管镜

671. 治疗AOPP时，哪项不是阿托品化的指标
   A. 口干、皮肤干燥
 ->B. 瞳孔较原来缩小
   C. 颜面潮红
   D. 心率加快
   E. 肺部啰音减少或消失

672. 以下哪一项指标为诊断ARDS的必要条件
   A. 血氧饱和度
   B. pH
   C. 动脉血氧分压
 ->D. 氧合指数
   E. 肺泡-动脉氧分压差

673. 适于行X线钡餐造影检查的疾病有
   A. 胃穿孔
   B. 肠穿孔
   C. 肠梗阻
   D. 2周内有肠道大出血者
 ->E. 以上都不是

674. 长期使用广谱抗生素可引起
   A. 菌血症
   B. 败血症
   C. 脓毒血症
 ->D. 菌群失调症
   E. 弥散性血管内凝血

675. 梗死前心绞痛的哪一点与急性心肌梗死不同
   A. 心电图ST段抬高
   B. 胸痛不能以硝酸甘油缓解
   C. 剧烈胸痛伴恶心、呕吐和大汗
 ->D. 心电图未见病理性Q波
   E. 血压波动

676. 下列哪项指标能提示腹腔脏器可能有损伤
   A. 腹腔灌洗液红细胞数大于10万/mm<sup>3</sup>
   B. 腹腔灌洗液红细胞数在1万～10万/mm<sup>3</sup>之间
   C. 发现细菌或胆汁
   D. 腹腔灌洗液白细胞数大于5000/mm<sup>3</sup>
 ->E. 以上都是

677. 下列有关免疫调控的说法错误的是
   A. 全身炎症反应亢进时，不主张使用糖皮质激素
   B. 全身炎症反应亢进时，不主张使用高特异的拮抗促炎细胞因子的单克隆抗体
   C. 可以直接使用拮抗弹性蛋白酶、过氧化物酶、氧自由基的药物
   D. 对于全身炎症反应低下确切证据者，可以尝试使用促炎物质
 ->E. 合并全身炎症反应者也可以使用促炎物质

678. 下面心电图诊断，哪项是正确的<img src="https://exam.mvwchina.com/upload/2018/12/20/afaf6edb194242a4a5c4f654dc8dd533.png">
   A. 二度Ⅱ型房室传导阻滞
 ->B. 二度Ⅰ型房室传导阻滞
   C. 二度Ⅱ型房室传导阻滞伴一度房室传导阻滞
   D. 二度Ⅰ型房室传导阻滞伴一度房室传导阻滞
   E. 以上都不对

679. 房室旁路典型预激综合征的心电图表现是
   A. 窦性心律的QRS波群短于0.12秒
   B. 窦性心律的P-R间期超过0.12秒
 ->C. QRS波群起始部分粗钝（称delta波），终末部分正常
   D. QRS波群终末部分粗钝（称delta波），起始部分正常
   E. ST-T波与QRS波群主波方向相同

680. 长期使用大量要素饮食的患者，其饮食热卡密度高，渗透压为机体渗透压的2倍，突然禁食，静脉未及时补充营养物质，短期内容易发生
 ->A. 低血糖
   B. 高碳酸血症
   C. 酮症酸中毒
   D. 反应性高血糖
   E. 高渗性昏迷

681. 大量出汗时尿量减少，主要是由于
 ->A. 血浆晶体渗透压升高，引起血管升压素分泌
   B. 血浆晶体渗透压降低，引起血管升压素分泌
   C. 交感神经兴奋，引起血管升压素分泌
   D. 血容量减少，导致肾小球滤过减少
   E. 血浆胶体渗透压升高，导致肾小球滤过减少

682. 有关食管的描述错误的是
   A. 前后略扁的肌性管道
   B. 全长25 cm
 ->C. 依走行分颈、胸两段
   D. 全长有3个生理狭窄
   E. 食管下端连于胃的贲门

683. 评定心脏泵血功能更有意义的是
   A. 每搏输出量
   B. 心排血量
 ->C. 心脏做功量
   D. 心肌收缩力
   E. 动脉血流速

684. 肾替代治疗中溶质清除的原理，正确的是
   A. 对流对小分子溶质清除效果好
 ->B. 弥散对小分子溶质清除效果好
   C. 吸附效率与溶质浓度关系密切
   D. 以上都正确
   E. 以上都不正确

685. 高渗性非酮症高血糖昏迷（HONK）救治成败的关键是
   A. 抗感染
   B. 胰岛素应用
   C. 纠正酸中毒
 ->D. 纠正脱水
   E. 及时足量补钾

686. 引起细胞外液量正常的低钠血症的原因是
   A. 肾素减少
   B. 钠摄入减少
   C. 心钠素增多
 ->D. ADH增多
   E. 醛固酮增多

687. AOPP的主要表现应是
   A. 瞳孔缩小，大汗，流涎
   B. 瞳孔缩小，大汗，流涎，视力模糊
   C. 瞳孔明显缩小，大汗，流涎、心动过缓
   D. 瞳孔明显缩小，大汗，流涎、肌肉颤动
 ->E. 瞳孔明显缩小，肌肉颤动、昏迷、肺水肿、呼吸衰竭

688. 治疗急性重度杀虫脒口服中毒下列哪一项措施是错误的
   A. 2%碳酸氢钠溶液洗胃
 ->B. 酸化尿液
   C. 亚甲蓝1 mg/kg加入50%葡萄糖溶液中静脉缓注
   D. 大剂量维生素C静脉滴注
   E. 应用二巯基丙磺酸钠

689. 关于脑挫裂伤的叙述，下列哪项是错误的
   A. 脑挫裂伤是脑挫伤和脑裂伤的统称
   B. 脑挫裂伤属于原发性脑损伤
   C. 脑挫裂伤的发生部位多在暴力打击部位和（或）对冲部位
 ->D. 脑挫裂伤多发生于易于受到打击的大脑半球凸面
   E. 单纯脑挫裂伤以非手术治疗为主

690. 急性心肌梗死溶栓治疗的依据是
   A. 多数急性心肌梗死尸检证实为冠状动脉栓塞
   B. 多伴有斑块破裂
   C. 斑块严重狭窄
   D. 多伴有斑块内出血
 ->E. 闭塞性的血栓形成

691. 关于急性酒精中毒，不正确的说法是
   A. 临床上分为兴奋期、共济失调期、昏迷期
   B. 假酒中毒含有甲醇，可导致视神经萎缩，甚至失明
   C. 催醒最常用的是纳洛酮，或联合醒脑静
   D. 严重中毒或伴肝、肾功能衰竭者考虑血液透析
 ->E. 输液补充葡萄糖不能加速乙醇氧化代谢

692. 下列哪一种细胞产生和释放内生致热原最多
   A. 肿瘤细胞
   B. 中性粒细胞
