1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
333. 某公司员工在体检中作超声检查时发现左肾有一实性病灶，位于肾脏中1/3部偏外侧，相当于肾柱部位，呈类圆形，边界清，回声强度与肾皮质相同，且皮质相互连续，肾盂无分离。最应得出的超声提示为
   A. 左肾实性病灶，建议进一步检查
   B. 左肾实性病灶，考虑肾细胞癌，建议进一步检查
 ->C. 左肾局限性低回声区，考虑肾柱肥大，建议定期复查
   D. 左肾未见异常回声
   E. 左肾良性病灶

334. 患者女性，既往月经正常，现闭经68天，尿妊娠试验阳性，阴道无流血。超声检查：子宫饱满稍大，宫腔内可见平均内径为29 mm妊娠囊，囊内未见明显胚胎组织及胎心搏动。正确的诊断是
   A. 先兆流产
   B. 不全流产
   C. 稽留流产
 ->D. 枯萎孕卵
   E. 难免流产

335. 一6岁男孩，出生后有紫绀，6个月后发绀明显，平时喜欢蹲踞，哭泣时有突发呼吸急促和青紫加重，请指出以下哪项诊断可能性大
   A. 房间隔继发孔缺损
   B. 室间隔小缺损
   C. 法洛三联症
 ->D. 法洛四联症
   E. 肺动脉口狭窄
解析：法洛四联症为紫绀组先天性心脏病中最常见的一种疾病，而另外四种疾病均为非紫绀组先天性心脏病。

336. 患者，女性，25岁，3年来多次昏倒，数分钟后恢复。体检：坐位时，心尖区有舒张期隆隆样杂音，卧位时该杂音消失。超声检查左心长轴切面在左房内呈现云团状肿块切面回声，其瘤体回声随心脏舒张与收缩而活动。最可能为
   A. 风湿性心脏病二尖瓣狭窄
   B. 肺心病
 ->C. 左房黏液瘤
   D. 肥厚性梗阻型心脏病
   E. 风湿性心脏病主动脉瓣狭窄

337. 患者男性，49岁，胆囊颈部侧壁见一个2.3 cm×1.5 cm的基底较宽的低回声团块，自囊壁突向腔内，表面不平整，彩色多普勒于其基底部探及少量条状搏动性血流频谱，胆囊浆膜层连续性欠佳。其最可能的诊断是
   A. 胆囊胆固醇沉着症
 ->B. 结节型胆囊癌
   C. 胆囊腺瘤
   D. 胆囊炎性息肉
   E. 胆囊腺肌增生症局限型

338. 患者男性，43岁，肝炎病史15年，近年AFP升高，超声所见：肝右叶萎缩，左叶增大，肝表面不光滑，肝实质回声增粗、增强、不均匀、肝静脉扭曲变细，肝右前叶可见一个28 mm×30 mm的低回声实性占位，边缘有弱回声晕，最可能的诊断是
   A. 肝腺瘤
 ->B. 结节型肝癌
   C. 肝囊肿
   D. 肝转移癌
   E. 胆管细胞癌

339. 女，25岁，B超检查如图所示<img src="https://exam.mvwchina.com/upload/2016/12/2309447aaedb46fca19e3cf0256811b8.jpg "/>，最可能的诊断为
   A. 右卵巢癌
   B. 右侧输卵管积液
   C. 右卵巢卵泡
 ->D. 右卵巢囊肿
   E. 扩张的右侧输尿管

340. 心包积液患者，超声见暗区内有细丝状、水草状回声漂浮于积液之中或附着于心包壁上，可能为下列哪种疾病
   A. 原发性或转移性心包肿瘤
   B. 低蛋白血症
 ->C. 结核性心包炎
   D. 心包积血
   E. 非特异性心包炎

341. 患者无月经，无临床症状，子宫极小，长径＜2.0 cm，无子宫内膜回声，应诊断为
   A. 幼稚子宫
   B. 单角子宫
   C. 先天性无子宫
 ->D. 始基子宫
   E. 双子宫

342. 患者风湿性心脏病行二尖瓣置换术后若瓣膜功能正常，下列不应该出现的情况是
   A. 二尖瓣口舒张期血流速度1.5 m/s
 ->B. 心尖四腔心切面人工瓣瓣周舒张期可见红色血流
   C. 二尖瓣口收缩期少量反流血流信号
   D. 三尖瓣口收缩期少量反流血流信号
   E. 肺动脉瓣口舒张期少量反流血流信号

343. 一位成年男性排便异常一年，现因腹痛来诊，超声见右侧腹部分肠管肠壁不规则增厚，肠腔明显狭窄，横断面呈不典型的同心圆改变，纵切面见多层肠壁近似平行排列，近段肠管扩张，肠内容物见逆蠕动出现，最可能的诊断是
   A. 肠梗阻
 ->B. 肠癌继发肠套叠
   C. 克罗恩病
   D. 肠结核
   E. 肠扭转
解析：成人肠套叠往往继发于肿瘤，根据病史及声像图征象，形成上述声像图特征的最可能的诊断是肠癌继发肠套叠，并导致机械性肠梗阻。

344. 患者，女，23岁，心脏超声检查示二尖瓣回声轻度增强，开放受限，左室内仅见一个乳头肌，前后瓣叶的腱索均附着于此，考虑为
   A. 吊床样二尖瓣
 ->B. 降落伞样二尖瓣
   C. 二尖瓣关闭不全
   D. 二尖瓣脱垂
   E. 以上都不是

345. 患者，女性，25岁，1月前发现右乳包块，查体该包块可滑动。声像图如下<img src="https://exam.mvwchina.com/upload/2016/12/066c39dc6f964b92b4de7614cff2dbd9.jpg "/>，图中所示为
   A. 右乳髓样癌
 ->B. 右乳乳腺纤维腺瘤
   C. 右乳囊肿
   D. 右乳浸润性导管癌
   E. 右乳乳头状导管癌

346. 患者男性，60岁，查体时发现颈前偏右有一实性结节，不活动，质硬，同侧淋巴结肿大，超声显示：甲状腺右叶呈单发，不规则实性的低回声结节，境界不清，CDFI有高速血流信号，最可能是
   A. 甲状腺囊肿
   B. 甲状腺腺瘤
 ->C. 甲状腺癌
   D. 亚急性甲状腺炎
   E. 颈淋巴瘤

347. 患者，男性，32岁，因心绞痛急诊入院。体检可闻及S4心音。超声心动图显示心尖部厚度为19 mm，室间隔厚度11 mm，左心室后壁厚度为10 mm，该患者可能出现下列哪一种表现
   A. 12导联心电图正常
 ->B. 在亚硝酸异戊酯使用后，连续波多普勒测定左心室流出道峰值速度为1 m/s
   C. 二尖瓣收缩期前向运动
   D. 较差的临床预后
   E. 以上都不正确

348. 男性患者，66岁，既往大量饮酒史，近一年出现进行性吞咽困难，呕吐，超声示肝左叶后下方可见23 mm×19 mm形态不规则的“靶环征”影像，内腔偏移，周围可见肿大淋巴结，超声诊断考虑为
 ->A. 贲门癌
   B. 胃溃疡
   C. 右肾上腺肿瘤
   D. 胰头癌
   E. 下腔静脉癌栓

349. 女性，45岁。偶然发现右乳有一小硬结节，不活动。超声检查：右侧乳腺内见大小约0.8 cm×0.7 cm的低回声实性结节，后方衰减明显，CDFI：其内无血流信号，同侧腋窝淋巴结肿大。诊断首先要考虑是
   A. 腺纤维腺瘤
   B. 乳腺囊性增生
   C. 慢性囊性乳腺增生
 ->D. 乳腺硬癌
   E. 乳腺髓样癌

350. 关于左向右分流的主动脉窦瘤破裂（流向右心室流出道）的彩色多普勒血流显像描述，正确的是
   A. 显示有血流信号从窦瘤流向冠状动脉
   B. 显示有血流信号从窦瘤流向肺动脉
   C. 显示有血流信号从右心室流向窦瘤
 ->D. 显示舒张期、收缩期均有从窦瘤流向右心室流出道的信号
   E. 显示收缩期有血流信号从窦瘤到右心室，舒张期有血流信号从右心室流向窦瘤
解析：主动脉窦瘤破裂的彩色多普勒：右心室流出道可探及源于主动脉窦的双期五彩镶嵌色的连续性高速分流血流信号。

351. 患者，男，55岁，自述食欲不振，上腹部不适，皮肤瘙痒发黄， 间断性发热I周。临床检查：巩膜及皮肤黄染。超声检查：胰头外侧可见2.9 cm×2. 9 cm低回声区，形态不规则，边界不清，呈毛刺状。胆总管内径1.3 cm。超声提示
   A. 腹膜后肿大淋巴结
   B. 胆总管结石
 ->C. 壶腹周围占位
   D. 平滑肌肉瘤
   E. 胰头癌

352. 男性青年患者，突发剧烈右侧下腹疼痛，急诊超声显示：右侧输尿管下段可探及增强回声，但与周围肠气回声有重叠，可依据下列哪一项确诊为结石
 ->A. 强回声后方的声影
   B. 镜面伪像
   C. 混响伪像
   D. 切片厚度伪像
   E. 旁瓣伪像

353. 患者青年男性，21岁，因活动后心悸、乏力，查体：患者身高1.8 m，手指过长，听诊胸骨左缘第2-3肋间可闻及舒张期杂音，超声心动图显示：主动脉瓣重度关闭不全，升主动脉内径65 mm，降主动脉起始段内径23 mm。超声可诊断为
 ->A. 马凡氏综合征
   B. 先天性心脏病-动脉导管未闭
   C. 主动脉夹层动脉瘤
   D. 扩张型心肌病
   E. 先天性心脏病-肺动脉狭窄

354. 患者男性，5岁，心悸，气短，口唇青紫，杵状指，超声心动图诊断为完全型大动脉转位，其表现不包括
   A. 胸骨旁大动脉短轴观显示“双环”征
   B. 室间隔连续中断
   C. 主动脉在前方，发自右心室
   D. 肺动脉在后方，发自左心室
 ->E. 主动脉发自左心室

355. 患者，45岁，男性，进行性呼吸困难6个月，二维超声心动图显示左心室收缩功能减低，LVEF为35%，下列哪个超声心动图指标最能区分缺血性和扩张性心肌病
   A. 存在节段性室壁运动异常
   B. 左心室壁运动弥漫性减弱
   C. 心尖部膨出
 ->D. 较大的透壁心肌瘢痕
   E. 以上都不正确

356. 患者，女性，60岁，前壁ST段抬高型心肌梗死，行左前降支冠状动脉PCI术，2个月后随诊无不适主诉。12导联心电图显示前壁ST段抬高。根据经胸超声心动图收缩末期心尖切面如图所示<img src="https://exam.mvwchina.com/upload/2016/12/2fed0e95e66b404b9b8f7180520ea927.jpg ">，下列诊断正确的是
   A. 由于急性支架内血栓导致再次心肌梗死
   B. 心电图的变化符合前壁心肌梗死的心电图演变
 ->C. 心尖部有室壁瘤
   D. 心电图的改变是由于Dressier梗死后综合征
   E. 以上都不正确

357. 女性，65岁，自述绝经10年，不规则阴道出血半个月，二维超声检查见宫腔分离，子宫内膜增厚。可提示为
 ->A. 子宫内膜癌
   B. 子宫颈癌
   C. 宫腔积液
   D. 子宫内膜息肉
   E. 子宫内膜积血

358. 患儿男性，8岁。左腰部胀痛半年。超声检查特征：左肾中度积水，左输尿管未见异常，肾图显示左肾梗阻曲线，右肾正常。本病可诊断为
   A. 输尿管结石
   B. 输尿管肿瘤
 ->C. 输尿管先天畸形
   D. 膀胱肿瘤
   E. 以上均是
解析：输尿管结石及输尿管肿瘤在儿童少见。它们可以引起不同程度的肾积水，但在病变相应部位分别可以探及结石的强回声或局部管腔的不规则、中断及实性肿块，临床症状有肾绞痛、血尿等；膀胱肿瘤若能继发肾积水，必然继发输尿管的扩张在先，因此可以排除；先天性输尿管狭窄属输尿管先天畸形病变中的一种类型，其病理改变多见于狭窄段肌层肥厚和纤维组织增生，本病主要见于小儿，它没有自发性肾绞痛伴血尿的特点，当狭窄发生于肾盂输尿管连接部时，超声检查可观察到肾盂内出现无回声区，到输尿管连接部逐渐变窄或突然中断的声像图，输尿管无明显异常。

359. 患者男性，56岁，无明显自觉症状，出现无痛性肉眼血尿。超声特征：左肾实质内可见一5 cm左右低回声不均匀实质性肿块，表面呈分叶状，内部及周边均可探及较丰富血流信号，肾窦受压变形。本病可诊断为
   A. 肾脓肿
   B. 肾结核
   C. 多囊肾
   D. 肾囊肿
 ->E. 肾癌
解析：肾脓肿、多囊肾、肾囊肿为肾内囊性肿块；肾结核声像图复杂多变，仅早期局部肿胀时表现为局部的均匀性/非均匀性回声减弱，酷似肾肿瘤，但内部及周边探及不到较丰富血流信号，因此结合患者的临床症状及声像图表现，答案选择E。

360. 患者男性，55岁，肝区轻度不适，肝功能检查正常。超声表现右叶缩小，左叶增大，肝缘钝，肝表面不平整，肝组织呈网格状、鱼鳞状结构，肝内门静脉分支内腔狭窄，壁增厚，回声增强，细分支显示清楚，肝静脉细窄，最可能的诊断是
 ->A. 血吸虫性肝硬化
   B. 酒精性肝硬化
   C. 病毒性肝硬化
   D. 胆汁性肝硬化
   E. 淤血性肝硬化

361. 患者女性，31岁。婚后4年，既往月经规律。现停经54天，不规则阴道流血4天。超声检查：于左侧附件区可见平均内径为25 mm妊娠囊，并见胚芽及原始心管搏动。最不可能的妊娠部位是
 ->A. 输卵管峡部
   B. 输卵管壶腹部
   C. 卵巢
   D. 阔韧带
   E. 输卵管间质部

362. 患儿女性：4岁，右侧腹部包块就诊，超声特征：右侧肾脏明显增大，失去正常形态，内见10 cm左右边界清楚低回声不均匀实性肿块，肿块内部有不规则片状无回声区及强光团，血运极丰富，残存少量肾组织被挤压至一侧。本病可诊断为
   A. 肾错构瘤
   B. 肾结石
   C. 肾脓肿
   D. 肾血肿
 ->E. 肾母细胞瘤

363. 女性，39岁。右上腹痛，Murphy征阳性。B超检查测胆囊大小为9.9 cm×4.2 cm，壁厚0.7 cm，呈双边状。提示诊断是
   A. 胆囊结石
 ->B. 急性胆囊炎
   C. 慢性胆囊炎
   D. 胆囊积液
   E. 胆囊息肉

364. 患者男性，57岁，近一个月来纳差、消瘦、腹胀、恶心，今早起因呕吐来急诊。超声检查见胃腔内大量可流动性颗粒物，十二指肠降部以上扩张，降部下方见形态不规则低回声团块，内部回声不均匀，超声诊断考虑
 ->A. 十二指肠癌
   B. 恶性淋巴瘤
   C. 胰头癌
   D. 平滑肌肉瘤
   E. 肠套叠
解析：恶性淋巴瘤探头加压易变形，回声近似无回声；胰头癌较十二指肠癌出现胃潴留的几率低得多；平滑肌肉瘤的体积较大，边界不清且不规则；肠套叠有典型的病史和典型征象。

365. 男性，24岁。车祸后左腰部胀痛明显，无发热。血常规：Hb 100 g/L，白细胞不高；超声检查特征：左侧肾脏上极实质回声不均匀，肾包膜连续性中断，肾周脂肪囊内可见形态不规则透声不好的无回声区。本病可诊断为
   A. 肾错构瘤
   B. 肾结石
   C. 肾脓肿
 ->D. 肾血肿
   E. 肾肿瘤
解析：首先患者有明确的外伤史，血红蛋白低于正常表明有失血可能，超声特征则符合肾实质裂伤（包膜破裂）肾周血肿形成的声像图表现。

366. 患者，男性，64岁，既往慢性肾功能不全、高血压及中度主动脉瓣狭窄病史，因活动时呼吸困难加重入院，1年前查超声心动图显示：左心室壁增厚，射血分数58%，主动脉瓣的峰值压差31 mmHg，瓣口面积约1.2 cm<sup>2</sup>。查体：主动脉瓣听诊区2/6级收缩期杂音，未放射到颈部，明显的外周水肿。检验结果：肌酐3.8 mg/dl，注射呋塞米后因血压降低停用，超声心动图显示：左心室增大（62 mm），左心室壁运动弥漫性减弱，收缩功能重度减退，射血分数24%，主动脉瓣平均压差30 mmHg，你认为下一步措施是什么
   A. 注射腺苷甲氧异腈
   B. 开始透析
   C. 大剂量的多巴酚丁胺超声负荷试验
 ->D. 低剂量的多巴酚丁胺超声负荷试验
   E. 利尿

367. 男性，42岁。超声体检发现左肾内圆形肿物，边界整齐清晰，直径约1.2 cm，内呈无回声，后方回声明显增强。根据声像图特征诊断是
 ->A. 肾囊肿
   B. 肾囊肿合并感染
   C. 肾囊肿合并出血
   D. 肾良性肿瘤
   E. 肾肿瘤合并瘤内液化
解析：根据超声描述，为典型的肾囊肿声像图。

368. 男性，32岁。临床诊断附睾炎，不属于其超声所见的是
   A. 化脓时可呈无回声
   B. 附睾头肿大
   C. 附睾尾肿大
   D. 附睾强回声伴声影
 ->E. 附睾正常大小
解析：附睾炎多发生于附睾尾部，病变常不规则，内部回声不均匀。附睾常呈低回声肿大。如显示强回声钙化点或斑块，后方出现声影。
