1. 烧伤后引起气性坏疽的致病菌是
   D. 深Ⅱ度烧伤
   E. 轻度烧伤

352. 引起原发性甲状旁腺功能亢进最常见的病因是
   A. 甲状旁腺多发腺瘤
 ->B. 甲状旁腺单发腺瘤
   C. 甲状旁腺增生
   D. 甲状旁腺癌
   E. 甲状旁腺腺瘤

353. 烧伤治疗的最主要目标是
   A. 使创面无菌化
 ->B. 重建和恢复皮肤屏障
   C. 避免创面加深
   D. 防止皮下血管栓塞
   E. 防止瘢痕出现

354. 下列肝裂伤手术处理的步骤中，不包括
   A. 控制肝门入肝血流以暂时止血，确认出血来源
   B. 扩大肝裂伤，发现损伤的血管和胆管并分别处理
 ->C. 处理空腔脏器损伤，控制腹腔污染
   D. 选用止血材料或带血运大网膜填塞
   E. 肝周引流

355. 根据淋巴结清除范围的不同，胃癌根治术分为根Ⅰ式、根Ⅱ式和根Ⅲ式。以下关于远端胃癌根Ⅱ式手术的淋巴结清扫范围， 正确的是
 ->A. 1、3、4、5、6、7、8、9组淋巴结
   B. 1、2、3、4、5、7、8、9、10、11组淋巴结
   C. 1、2、3、4、5、6、8、9、10、11组淋巴结
   D. 1、3、4、5、6、8、9、10、11、12组淋巴结
   E. 3、4、5、6、7、8、9、10组淋巴结

356. 下列关于布-加综合征诊断中说法错误的是
   A. 本病的诊断需结合病史与临床表现
   B. 诊断时需与乙肝肝硬化相鉴别
 ->C. 血管造影是本病诊断的金标准，为首选检查
   D. 彩超可为疾病诊断提供重要依据
   E. CT在本病的具体分型中有重要应用价值
解析：血管造影虽然是本病诊断的金标准，但是由于其为有创检查，风险较大，对操作者的技术水平要求较高，因此不作为首选检查。

357. 下列不属于原发性甲状旁腺功能亢进手术并发症的是
   A. 发生胰腺炎
 ->B. 甲状腺危象
   C. 低钙血症
   D. 手足抽搐
   E. 损伤喉返神经

358. 导致重症胰腺炎患者腹腔感染的常见致病菌为下列哪项
   A. 革兰氏阳性菌
 ->B. 革兰氏阴性菌
   C. 真菌
   D. 支原体
解析：重症胰腺炎腹腔感染的主要细菌来源为肠道菌群移位、胆道，常见的细菌为革兰氏阴性菌。

359. 下列腹部穿透伤的伤情特点中，错误的是
   A. 腹部穿透伤的出入口并不一定都在腹部
   B. 有些腹壁切线伤虽未穿透腹膜，并不排除内脏损伤的可能
   C. 穿透伤的入、出口与伤道不一定呈一直线
   D. 伤口大小与伤情严重程度不一定成正比
 ->E. 火器伤入口远离腹部，可排除腹内脏器损伤

360. 导致重度烧伤真菌感染的最主要原因是
   A. 免疫功能增强
   B. 长期卧床
   C. 多次手术
 ->D. 长期大量使用广谱抗生素
   E. 静脉高营养

361. 胃癌的浸润深度，用T来表示，其以下含义中，不正确的是
   A. T<sub>1</sub>：肿瘤侵及黏膜和（或）黏膜下层
   B. T<sub>2</sub>：肿瘤侵及肌层或浆膜下
   C. T<sub>3</sub>：肿瘤侵透浆膜
   D. T<sub>4</sub>：肿瘤侵犯邻近结构或器官
 ->E. T<sub>x</sub>：肿瘤侵及的深度既明确，又广泛

362. 我国最常见的慢性胰腺炎原因为
   A. 酗酒
   B. 甲状旁腺功能亢进症
   C. 遗传
 ->D. 胆道结石
解析：慢性胰腺炎最常见原因在我国为胆道结石，在西方国家为酗酒。

363. 下列造血系统疾病中，不符合脾切除适应证的是
 ->A. 急性粒细胞白血病
   B. 遗传性球形红细胞增多症
   C. 多毛细胞白血病
   D. 丙酮酸激酶缺乏症
   E. 自体免疫性溶血性贫血

364. 烧伤的包扎疗法，下列不正确的是
   A. 外层用无菌脱脂纱布或棉垫包扎
   B. 清创后内层敷料为1～2层凡士林油纱贴于创面
   C. 厚度以渗出物不渗湿外层敷料为度
   D. 包扎应从远端开始
 ->E. 四肢关节包扎应固定在中立位

365. 头颈部、臀部、会阴部烧伤，创面处理宜采用
   A. 包扎疗法
   B. 暴露疗法
 ->C. 暴露或半暴露疗法
   D. 浸泡疗法
   E. 湿敷疗法

366. 确定下肢静脉曲张能否手术，首先必须明确
   A. 股隐静脉瓣功能情况
 ->B. 深静脉是否通畅
   C. 深浅静脉交通支瓣膜功能情况
   D. 小隐静脉瓣功能情况
   E. 是否出现并发症

367. 关于肛管直肠周围脓肿的手术治疗，下列选项正确的是
   A. 坐骨肛管间隙脓肿多采用放射状切口
   B. 切口选在位置最高处
 ->C. 切开引流+挂线术可有效预防肛瘘的发生
   D. 不要分开脓腔内纤维隔，以免损伤括约肌
   E. 为避免损伤括约肌，手术切口尽可能小

368. 下肢深静脉血栓形成的临床诊断要点，下列选项不正确的是
   A. 起病急，患肢肿胀发硬、疼痛，活动后加重，常伴有发热、脉速
   B. 血栓肢体肿胀，压痛，皮温降低，足背、胫后动脉搏动减弱或消失
   C. 深静脉血栓形成后综合征，浅静脉曲张、色素沉着、溃疡、肿胀
 ->D. 血栓发生在小腿肌肉静脉丛时，Hom-ans征和Neuhof征可呈阴性
   E. 静脉造影、多普勒超声及静脉血流图检查有助诊断
解析：下肢血栓发生在小腿肌肉静脉丛时，Homans征和Neuhof征阳性。

369. 下列痔的治疗方法中，错误的是
   A. 血栓性外痔可手术切开取出血栓
   B. 手术疗法适用于单纯较大的内痔及环状痔
 ->C. 注射疗法适用于混合痔、外痔及有感染的内痔
   D. 枯痔疗法适用于出血的内痔和反复脱出不易回纳的内痔
   E. 单纯性外痔一般不手术

370. 以下对胰岛素瘤的概述中，不正确的是
   A. 来源于胰岛B细胞，直径在1.0～2.5 cm之间
 ->B. 多为多发，可恶性变
   C. 典型症状为早晨自发性低血糖，发作时血糖低于2.8 mmol/L
   D. 反复测定空腹血糖可低至2.2 mmol/L，葡萄糖耐量试验可呈低平曲线
   E. B超或CT检查及腹腔动脉造影有助于 诊断和定位

371. 肠系膜上动脉起始部发生栓塞，可引起下列哪段肠管发生血运障碍
   A. 全部小肠
   B. 远端小肠及右半结肠
   C. 屈氏韧带以下的小肠
 ->D. 屈氏韧带以下的小肠及右半结肠
   E. 右半结肠

372. 关于小肠肿瘤的临床特点，不正确的是
 ->A. 较胃肠道其他部位少见，良性肿瘤占大多数
   B. 可有腹痛、消化不良、出血和贫血、肠梗阻、腹内肿块表现
   C. 恶性肿瘤最常见的是恶性淋巴瘤
   D. 腺瘤和癌常见于十二指肠
   E. 全消化道X线钡餐检查有助诊断

373. 烧伤后免疫功能失调的调理，下列不正确的是
   A. 全身营养支持疗法
   B. 成分输血
   C. 清除血中的免疫抑制物
 ->D. 应用广谱抗生素、大剂量、联合用药
   E. 应用免疫调节剂

374. 皮瓣修复电烧伤创面时，下列错误的是
 ->A. 深部组织损伤缺血严重伴感染者，最好选用随意型皮瓣覆盖
   B. 1周内的创面，可选用随意型皮瓣覆盖
   C. 足跟暴露创面，可做血管吻合的游离皮瓣覆盖
   D. 周边深Ⅱ度烧伤创面可游离植皮以减少皮瓣覆盖面积
   E. 暴露肌腱、关节、神经的创面最好选用轴型皮瓣甚至肌皮瓣覆盖

375. 关于胆管癌的临床表现特点，下列不正确的是
   A. 进行性加重的黄疸
   B. 尿呈茶色，大便逐渐由黄色转为陶土色
 ->C. 胆汁性肝硬化发生早，肝功能损害出现早
   D. 胆管中下段癌多为无痛性梗阻性黄疸，进展快，伴轻度或明显胆囊肿大
   E. 上段胆管癌位于一侧肝管，常无症状，当侵及对侧肝管时，出现黄疸

376. 以下对原发性硬化性胆管炎的概述，错误的是
   A. 是一种病因不明的胆汁淤积综合征
   B. 肝内、外胆道纤维化性炎症狭窄，最终可发展为肝硬化
   C. 病隐匿，渐进性加重的乏力、瘙痒和黄疸
   D. ERCP或MRCP具有一定诊断价值
 ->E. 病变累及局部或部分肝内外胆道系统

377. 下列肠梗阻的手术方式选择，错误的是
   A. 解除梗阻原因可行粘连松解、肠扭转复位、肠切开取异物术
   B. 肠管已有炎性狭窄及坏死等应行肠切除肠吻合术
   C. 梗阻原因不可能解除者，可将梗阻近、远侧肠袢做侧侧吻合术
   D. 对一般情况极差或局部病变不能切除的患者，可先行肠造口术
 ->E. 对小肠病变或粘连广泛的患者，可切除范围超过80%小肠

378. 关于门静脉高压症的病因与病理特点，下列错误的是
   A. 按阻力增加的部位分为肝前、肝内、肝后三型，肝内型占95%以上
   B. 按病理形态不同，肝内型又分为窦前、窦后、窦型
   C. Budd-Chiari综合征属于肝后型门静脉高压症
   D. 肝炎后肝硬化可引起肝窦、窦后阻塞性门静脉高压症
 ->E. 血吸虫病属于肝内窦后型门静脉高压症

379. 下列对布-加综合征（Budd-Chiarisyn-drome）的概述中，错误的是
 ->A. 主肝静脉出口部或肝后段下腔静脉血流受阻所引起的肝后性门静脉高压综合征
   B. 多为先天性因素，涉及下腔静脉和多支肝静脉的狭窄或闭塞性病变
   C. 明确诊断根据影像学检查和血管造影表现
   D. 出现肝静脉回流障碍和下腔静脉回流障碍的临床表现
   E. 治疗是解除肝和下腔静脉阻塞，建立旁路引流，降低静脉压力

380. 有关蔓状血管瘤的叙述错误的是
   A. 可见念珠状或索状弯曲迂回的粗大而带搏动的血管
   B. 皮温增高，可扪及持续震颤，有的可听到血管杂音
 ->C. 一般仅限于皮下脂肪层，不会侵犯骨组织
   D. 好发于头皮、面颈部及四肢，范围较大
   E. 累及的组织明显扩张增大
解析：蔓状血管瘤由较粗的静脉（最常见）、动脉、或动静脉瘘等迂曲血管构成。除了生长在皮下和肌肉，还常侵入骨组织，范围较大，甚至可超过一个肢体。其外观常见有明显的压缩性和膨胀性的蜿蜒血管。有的可听到血管杂音，甚至可触到硬结（为血栓和血管周围炎所致）。在下肢者皮肤可因营养障碍而变薄、着色甚至破溃出血。累及较多的肌群者影响运动能力。累及骨组织的青少年，肢体可增长、增粗。

381. 有关烧伤防治感染的措施，下列错误的是
   A. 全身营养支持
   B. 纠正休克
   C. 纠正水、电解质平衡失调
   D. 正确处理创面
 ->E. 大剂量长期应用广谱抗生素

382. 有关胆囊结石的临床表现特点，下列不正确的是
   A. 静止性胆囊结石约占50%
   B. 不典型的消化道症状常被误诊为胃病
 ->C. 胆绞痛呈持续性，阵发性加剧
   D. 结石或粘连压迫梗阻引起胆囊积液，胆囊胀大
   E. 并发肝总管狭窄或胆囊胆管瘘，出现胆管炎、梗阻性黄疸（Mirizzi综合征）

383. 外科急腹症最根本的治疗原则是
   A. 对症处理
 ->B. 纠正急腹症的病理改变
   C. 纠正水电解质、酸碱代谢紊乱
   D. 控制感染
   E. 维持重要脏器功能

384. Ⅱ度烧伤又称水疱型烧伤，下列哪种因素引起的Ⅱ度烧伤不出现水疱
   A. 开水
   B. 电火花
   C. 火焰
 ->D. 强酸
   E. 强碱

385. 85%Ⅲ烧伤创面焦痂的处理方法，宜选择
 ->A. 保痂下，有计划地分期切痂植皮
   B. 中草药保痂蚕食脱痂植皮
   C. 一次切痂植皮
   D. 自然脱痂植皮
   E. 油性软膏溶痂后植皮

386. 先天性巨结肠手术需切除的肠管包括
   A. 无神经节细胞段痉挛肠管
   B. 扩张肥厚段肠管
   C. 全结肠
 ->D. 无神经节细胞段痉挛肠管及大部分扩张肥厚段肠管
   E. 全结肠及齿状线2 cm以上直肠

387. 肝囊肿的首选检查方法是
 ->A. Doppler ultrasonography
   B. CT
   C. MRI
   D. X-ray
   E. DSA
解析：A选项正确；B、C选项为肝囊肿的进一步检查方法、非首选方法；D、E选项与诊断肝囊肿无关。

388. 关于麻痹性肠梗阻的临床表现特点，下列选项错误的是
   A. 全腹胀呈膨隆状，可引起呼吸困难
   B. 腹痛为持续性胀痛，而无阵发性绞痛
 ->C. 肠鸣音高亢，伴有高调的气过水声或金属音
   D. 腹式呼吸消失，叩呈鼓音，肝浊音界缩小或消失
   E. X线腹平片检查可见结肠和小肠均充气扩张

389. 乳房的淋巴网甚为丰富，其淋巴输出的途径，下列描述错误的是
 ->A. 上部淋巴液经胸大小肌间淋巴结直达锁骨上淋巴结，流向锁骨下淋巴结，呈循环状
   B. 大部分淋巴液经胸大肌外侧缘淋巴管回流至腋窝淋巴结，再流向锁骨下淋巴结
   C. 部分乳房内侧淋巴液通过肋间淋巴管流向胸骨旁淋巴结
   D. 两侧乳房间皮下有交通淋巴管，一侧乳房的淋巴液可流向另一侧
   E. 深部淋巴网可沿腹直肌鞘和肝镰状韧带通向肝
解析：部分乳房上部淋巴液可经胸大、小肌间淋巴结直达锁骨下淋巴结，通过锁骨下淋巴结，淋巴液继续流向锁骨上淋巴结。

390. 按临床分度，轻度吸入性损伤是指
   A. 伤及细支气管
 ->B. 伤及咽部以上
   C. 伤及肺泡
   D. 伤及气管以上
   E. 伤及喉部以上

391. 以下对胰腺假性囊肿的概述中，错误的是
   A. 急、慢性胰腺炎的并发症，腹部外伤也可形成
   B. 胰管破裂，胰液流出刺激周围组织浆膜形成的纤维包膜，囊内壁无上皮细胞
   C. 增大产生压迫症状、继发感染形成脓肿、破溃形成胰源性腹水
   D. 破向胃、结肠形成内瘘使囊液得以引流而愈合
 ->E. 反复穿刺抽液，可促使愈合

392. 以下对肝内胆管结石的概述，错误的是
 ->A. 左右肝管汇合部以上结石，多为继发性结石
   B. 可引起严重并发症，是良性胆道疾病死亡的重要原因
   C. 两侧肝管被结石阻塞时，出现黄疸，炎症重者出现休克及精神症状
   D. 影像学特征为肝内胆管扩张、狭窄、结石、左右肝管一部分不显影
   E. 手术方法常用肝叶切除、胆肠吻合术

393. 关于脐疝的临床特点，下列选项错误的是
   A. 婴儿脐疝多为先天性，成人以肥胖、妊娠、腹水多见
 ->B. 婴儿的脐环要在3岁之后才能自行闭锁
   C. 临床表现为脐部反复出现的包块
   D. 婴儿脐疝较少嵌顿，成人脐疝容易嵌顿
   E. 应在消除腹压增高因素的前提下尽早手术治疗

394. 有关甲状腺滤泡状癌的临床特点，下列错误的是
   A. 是一种实质的具有包膜的肿瘤，常密布丰富的血管网
   B. 多见于40〜60岁的中老年妇女
   C. 临床表现与乳头状癌相类似，但肿瘤一般较大
 ->D. 较多局部淋巴结转移，很少发生血道转移
   E. 浸润和破坏邻近组织，可出现呼吸道压迫等症状
解析：由于滤泡状癌包膜上常密布丰富的血管网，癌细胞可穿出包膜进入静脉形成癌栓，成为远处转移的起点，所以滤泡状癌多见于血道转移，较少局部淋巴结转移。

395. 下列焦痂切开减压术，错误的是
   A. 常规切至深筋膜
   B. 深筋膜下张力过高可将肌膜切开
   C. 沿肢体外侧和内侧切开焦痂，不越过踝关节或腕关节
   D. 两侧胸壁腋前线下作纵切口
 ->E. 超过24小时的深度焦痂不用切开

396. 1岁以内婴幼儿腹股沟疝暂不手术的理由是
   A. 不会发生嵌顿
 ->B. 部分有自愈可能
   C. 啼哭容易复发
   D. 腹壁太薄影响修补效果
   E. 手术影响睾丸发育

397. 胰头十二指肠切除术后消化道重建多主张采用
   A. 胆管-胰-胃的顺序与空肠吻合
   B. 胃-胰-胆管的顺序与空肠吻合
   C. 胃-胆管-胰的顺序与空肠吻合
 ->D. 胰-胆管-胃的顺序与空肠吻合
   E. 胰-胃-胆管的顺序与空肠吻合
解析：胰头十二指肠切除术后消化道重建的方法有胆管-胰-胃的顺序与空肠吻合（Whipple法）或按胰-胆管-胃的顺序与空肠吻合（Child法），目前多主张采用Child法。

398. 下列情况禁用诊断性腹腔穿刺术的是
   A. 小儿及老人
   B. 精神状态不正常者
 ->C. 严重腹胀者
   D. 昏迷者
   E. 病史不清者
解析：考点：腹腔穿刺的禁忌证，腹腔穿刺的禁忌证包括：严重腹内胀气者；中、晚期妊娠；既往有腹部手术或炎症史者；躁动不安不能合作者。小儿及老人、精神状态不正常者、昏迷者、病史不清者都不是腹腔穿刺的禁忌证。故选C。
