1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗
   A. 胃破裂
   B. 十二指肠破裂
   C. 脾破裂
   D. 胰腺破裂
 ->E. 肝破裂

268. 男性，58岁，上腹部隐胀不适3个月，加重伴呕吐宿食半月余入院。体检于上腹部扪及约4 cm×3 cm包块，质地较硬，尚可推动。该病人最可能的诊断是
   A. 胃溃疡
   B. 十二指肠溃疡伴幽门梗阻
   C. 胰腺癌
 ->D. 胃窦癌
   E. 萎缩性胃炎

269. 女性，50岁。中上腹痛反复发作2月余，伴皮肤巩膜黄染10天，发热3天（38℃～38.5℃）。体检：巩膜、皮肤黄染，直接胆红素156 μmol/L，尿胆红素强阳性。为明确诊断，首选的检查方式为
   A. 口服胆囊造影
   B. 静脉胆道造影
   C. 经皮肝穿刺胆道造影
   D. 逆行胰胆管造影
 ->E. B超检查

270. 男性，50岁。左侧肢体乏力，逐渐出现头痛和语言笨拙6个月。查体：眼底视乳头水肿。左上、下肢肌力4级，左下肢病理征（+）。CT检查可见颅内一低密度病灶，周围无水肿，增强后无强化。最可能的诊断是
   A. 脑脓肿
 ->B. 星形细胞瘤
   C. 脑出血
   D. 脑膜瘤
   E. 脑包虫病

271. 男性，65岁。诊断为胃癌，术中发现胃窦部5 cm×6 cm肿块，与胰腺浸润固定，肝脏散在多个转移结节。正确的处理为
   A. 胃癌根治术加左肝外叶切除
 ->B. 胃空肠吻合
   C. 胃癌扩大根治术
   D. 肿瘤局部切除
   E. 关腹后化疗

272. 男性，28岁。头痛、头晕1年。查体：血压170/100 mmHg。B超检查：左肾缩小。CT检查：双侧肾上腺大小正常。肾动脉造影：左肾肾动脉狭窄明显。诊断首先要考虑
   A. 原发性高血压
   B. 肾上腺肿瘤
 ->C. 肾血管性高血压
   D. 左肾肿瘤
   E. 库欣综合征

273. 男性，21岁。自高处跌下，骨盆骨折，排尿困难，尿潴留，会阴部肿胀，导尿管不能插入膀胱。首先要考虑的损伤部位是
   A. 膀胱
   B. 肛门直肠
 ->C. 后尿道
   D. 尿道球部
   E. 阴茎部尿道

274. 男性，31岁。B超检查可见肾上盏一0.6 cm结石。经解痉、中西医治疗和大量饮水，出现尿频、尿急、尿痛。现结石的位置可能出现在
   A. 肾盂
   B. 输尿管中段
   C. 膀胱
 ->D. 输尿管膀胱入口段
   E. 尿道

275. 女性，40岁。发现甲状腺肿物1周。检查发现肿物质硬，同侧有淋巴结肿大。患者有腹泻、心悸、脸面潮红等症状。最大可能是
   A. 甲状腺高功能腺瘤
   B. 甲状腺乳头状瘤
   C. 甲状腺滤泡状癌
   D. 甲状腺未分化癌
 ->E. 甲状腺髓样癌

276. 男性，22岁。近2日乏力，厌食，上腹痛，伴恶心呕吐，当腹痛尚未转移至右下腹前，在诊断急性阑尾炎上具有重要意义的是
   A. 可以出现发热
   B. 已有白细胞显著升高
   C. 脐周压痛及反跳痛
 ->D. 压痛固定在右下腹
   E. 脐周及右下腹均有压痛及反跳痛

277. 女性，38岁。右上腹痛，寒战高热，呕血约200 ml。查体：皮肤巩膜黄染，肝肋下1 cm，触痛明显，Murphy’s征（+），最可能的诊断是
   A. 胃癌出血
   B. 胃息肉出血
 ->C. 胆道出血
   D. 食管静脉曲张破裂大出血
   E. 十二指肠溃疡出血

278. 患者，男性，23岁，包皮上翻未及时复位造成包皮嵌顿3天。查体：包皮内板明显充血、水肿，并有炎性渗出。包皮口在阴茎冠状沟处形成狭窄环，龟头呈紫红色。试行包皮复位失败。下一步临床应如何处理
   A. 平卧，口服抗菌药物继续观察
   B. 用1/5000的高锰酸钾溶液泡洗
   C. 局部加压包扎
   D. 急诊行包皮环切手术
 ->E. 急诊行包皮背侧皮肤切开后进行复位

279. 女性，34岁。溃疡病穿孔行修补术后10天，体温38℃，黏液便4～6次/天，伴有里急后重及尿频、排尿困难，直肠指诊前壁有肿物。此患者应考虑是
   A. 细菌性痢疾
   B. 肠道功能紊乱
   C. 膀胱炎
 ->D. 盆腔脓肿
   E. 直肠癌

280. 一例重症胰腺炎患者，B超检查提示胆总管下端结石，患者出现腹部剧烈疼痛，请问下列哪些药物忌用
   A. 哌替啶
 ->B. 吗啡
   C. 曲马多
   D. 山莨菪碱
   E. <p>阿托品</p>
解析：对于疼痛难以缓解的患者，主张使用哌替啶类镇痛药物。吗啡可能引起oddi氏括约肌痉挛，胆总管下端结石患者应用之后可能会加重患者病情。

281. 男性，22岁。枕部棒击伤2小时，伤后当即昏迷，两侧瞳孔不等大，双侧肢体肌张力增高，病理征阳性。头颅CT检查未见明显血肿。最可能的诊断是
 ->A. 脑震荡
   B. 脑挫裂伤
   C. 弥散性轴索损伤
   D. 原发性脑于损伤
   E. 小脑幕切迹疝

282. 女性，30岁。经前乳房胀痛及出现肿块，经后自行消退，应考虑为
   A. 乳腺癌
   B. 乳房纤维腺瘤
   C. 乳腺肉瘤
 ->D. 乳腺囊性增生病
   E. 乳管内乳头状瘤

283. 患者男，45岁，排便后痛，昨日突然加剧，肛口可扪及一肿块，直径1.5 cm，紫色，触痛。应采取哪项治疗最佳
   A. 坐浴
   B. 封闭
   C. 口服药物
   D. 注射硬化剂
 ->E. 血栓外痔剥离术

284. 患者男，35岁。被热油烫伤12小时。查体：血压75/50 mmHg。烫伤总面积60%，深Ⅱ度。抗休克用CVP监测，当监测值为3 cmH<sub>2</sub>
O时，表明
   A. 血容量相对不足
   B. 心功能不全
   C. 容量血管过度舒张
 ->D. 血容量严重木足
   E. 容量血管过度收缩

285. 患者女，18岁。急性化脓性阑尾炎穿孔行阑尾切除术。术后第4天持续发热伴寒战，偶有呃逆及右上腹痛。查体：T 39.0℃。右下肺呼吸音弱。腹部X线平片：右膈膨隆，可见气液平，肋膈角少量积液。WBC 20×10<sup>9</sup>/L，N 90%。最可能的术后并发症是
   A. 右下肺炎
   B. 右下肺不张
   C. 右侧胸膜炎
 ->D. 右膈下脓肿
   E. 阑尾残株炎

286. 女性，56岁。发现右侧乳房无痛性肿块1年。查体：右乳外上象限可触及一3 cm×2 cm大小肿块，质硬，边界不清，表面皮肤凹陷状，呈“酒窝征”。临床诊断为乳腺癌，其发生表面皮肤凹陷表明
   A. 癌肿浸润乳腺管
   B. 癌细胞填塞皮内、皮下淋巴管
 ->C. 癌肿侵犯Cooper韧带
   D. 乳房充血水肿
   E. 癌肿浸润乳腺小叶腺泡

287. 男性，33岁。突发右下肢持续性剧痛6小时。既往有风湿性心瓣膜病史。入院查体：心律不齐，右下肢膝以下肢体苍白、肢冷，右股动脉搏动可及，腘动脉、足背动脉搏动消失。应诊断为
 ->A. 急性动脉栓塞
   B. 动脉硬化性闭塞症，并发急性动脉血栓形成
   C. 雷诺病
   D. 大动脉炎
   E. 急性淋巴管炎

288. 男性，60岁。双手肌肉萎缩4年。查体：神志清，双侧C<sub>4</sub>～T<sub>3</sub>节段性分离性感觉障碍。颈椎MRI提示C<sub>2</sub>～T<sub>2</sub>脊髓空洞，增强后C<sub>5</sub>～T<sub>1</sub>脊髓空洞内均匀强化。首先考虑的诊断是
   A. 髓外硬膜下占位性病变
   B. 脊髓空洞症
   C. 颈椎管狭窄
 ->D. 脊髓室管膜瘤
   E. 脊髓星形细胞瘤

289. 患者女，45岁。发现右乳腺外上象限约5 cm×4 cm包块6个月。包块质中，边界较清楚，粗针穿刺活检诊断为乳腺肉瘤。宜采取的治疗方法是
   A. 化学治疗
   B. 放射治疗
   C. 内分泌治疗
 ->D. 单纯乳房切除术
   E. 生物治疗

290. 男性，62岁。2个月前发现皮肤发黄并逐渐加深，近1个月出现上腹胀痛，偶伴恶心、呕吐，自感体重明显下降。查体：全身皮肤、巩膜黄染，Courvoisier征阳性，腹部移动性浊音阳性。实验室检查：大便潜血试验（+）。诊断首先考虑
 ->A. 下段胆管癌
   B. 胆囊癌
   C. 肝门部胆管癌
   D. 中段胆管癌
   E. 胆总管结石

291. 男性，70岁。大便秘结半年，后逐渐大便变细，近4个月来反复解脓血样便，3～4次/天。近5天以来未排便，伴腹胀、呕吐，不能进食。查体：全腹胀，对称，肠鸣音不亢进，未扪及肿块，肛门指诊未触及肿块。纤维结肠镜检：距肛门11 cm可见环形狭窄，呈菜花样外观，肠镜不能通过。根据患者情况，首先要考虑的诊断是
   A. 直肠绒毛状腺瘤
 ->B. 直肠癌
   C. 乙状结肠癌
   D. 溃疡性结肠炎
   E. 直肠炎伴瘢痕狭窄

292. 患者，女性，21岁。上呼吸道感染后2周，出现颜面水肿，肉眼血尿来诊。查体：BP135/94 mmHg，尿常规蛋白（++），红细胞满视野，白细胞5～10/HP。此时对诊断帮助最小的检查是
   A. 抗链球菌溶血素“O”滴度测定
   B. 咽拭子培养
   C. 血清补体成分c3测定
   D. 肾功能测定
 ->E. 以上都不是

293. 男性，25岁。病毒性呼吸道感染后四天发现肉眼血尿，无皮疹与水肿，应首先怀疑
   A. 急性肾小球肾炎
 ->B. IgA肾病
   C. 过敏性紫癜肾损害
   D. 肺肾综合征
   E. 传染性单核细胞增多症

294. 患者男，48岁。全身乏力，食欲减退，间断解黑便，进行性消瘦6个月。查体：上腹部膨隆，轻压痛，肝脾未触及，移动性浊音（-）。大便潜血试验（+++）。首先要考虑的诊断是
   A. 出血性胃炎
 ->B. 胃癌
   C. 食管静脉曲张破裂出血
   D. 疣状胃炎出血
   E. 消化性溃疡出血

295. 男性，20岁。火焰烧伤右上肢2小时。查体：整个右上肢表皮下积薄液，水疱较小，去表皮后创面微湿、发白，水肿明显，创面感觉迟钝。正确的诊断应为
 ->A. 烧伤面积9%，深Ⅱ度
   B. 烧伤面积4.5%，浅Ⅱ度
   C. 烧伤面积6%，Ⅱ度烧伤
   D. 烧伤面积9%，介于Ⅰ、Ⅱ度烧伤之间
   E. 烧伤面积10%，浅Ⅱ度

296. 患者男，25岁，因突发头晕、心慌、面色苍白就诊。查体：神志清醒、面色苍白，P120次/分，BP70/50 mmHg，上腹部压痛，反跳痛。B超提示腹腔积液，脾脏增大并不均质回声；腹腔穿刺抽出不凝血。9天前患者不慎自4米高处坠落，左侧身体先落地，感左侧腹疼痛，休息2天后继续工作。最可能的诊断是
   A. 肝破裂
   B. 肝被膜下破裂
 ->C. 延迟性脾破裂
   D. 胃十二指肠破裂
   E. 上消化道出血

297. 男性，30岁。近半年来出现尿频、尿不尽、尿道滴白及肛周隐痛不适，多次检查尿常规WBC1～3个/HP，前列腺液常规：WBC>10个HP，卵磷脂小体+++/HP，前列腺液培养阴性，血常规无异常。该患者正确的诊断为
   A. 慢性膀胱炎
   B. 泌尿系结核
   C. 非淋菌性尿道炎
 ->D. 慢性前列腺炎
   E. 膀胱结石

298. 男性，45岁。右侧阴囊可触及蚯蚓状肿块，平卧后不缓解。阴囊B超检查：右侧精索静脉曲张，考虑为继发性精索静脉曲张。首先应排除的疾病为
   A. 泌尿系统先天畸形
   B. 腹股沟疝
   C. 精索静脉炎
   D. 异位血管压迫
 ->E. 肾脏肿瘤

299. 女性，30岁。妊娠6周发生甲状腺功能亢进，甲状腺肿大伴有局部压迫症状，选择下列哪项治疗最恰当
   A. 服用抗甲状腺药物
   B. 终止妊娠后，服用抗甲状腺药物
   C. 终止妊娠后，手术治疗
   D. 终止妊娠后，<sup>131</sup>I治疗
 ->E. 不终止妊娠，手术治疗

300. 表皮后创面微湿、发白，水肿明显，创面感觉迟钝。正确的诊断应为
 ->A. 烧伤面积9%，深Ⅱ度
   B. 烧伤面积4.5%，浅Ⅱ度
   C. 烧伤面积6%，Ⅱ度烧伤
   D. 烧伤面积9%，介于Ⅰ、Ⅱ度烧伤之间
   E. 烧伤面积10%，浅Ⅱ度

301. 女性，42岁。发现右侧乳房无痛性包块2个月。查体：右乳外上象限皮肤呈橘皮样改变，可扪及一2 cm×3 cm大小包块。皮肤发生橘皮样改变表明
   A. 癌肿浸润乳腺管
 ->B. 癌细胞填塞皮内、皮下淋巴管
   C. 癌肿侵犯Cooper韧带
   D. 乳房充血水肿
   E. 癌肿浸润乳腺小叶腺泡

302. 男性，19岁。骑跨伤后4小时，不能排尿。首先应采取的处理措施是
   A. 急诊手术
 ->B. 试插导尿管
   C. 膀胱造瘘
   D. 尿道造影
   E. 急查膀胱镜
解析：骑跨伤后首选导尿处理。

303. 女性，45岁。诊断考虑胆囊结石并发胆总管结石，拟行腹腔镜胆囊切除+腹腔镜胆总管切开探查术，评估腹腔镜胆总管切开探查术的可行性时，不需要考虑的是
 ->A. 胆囊管粗细
   B. 胆总管内径
   C. 胆总管结石数目
   D. 胆总管结石有无嵌顿
   E. 有无合并肝内胆管结石

304. 患者男，30岁。腹部刀刺伤2小时。剖腹探查发现肝破裂，胃、小肠、横结肠、膀胱破裂。手术应优先处理的是
   A. 小肠破裂修补术
   B. 胃破裂修补术
   C. 横结肠造瘘术
   D. 膀胱破裂修补术
 ->E. 肝破裂修补术

305. 患者男，59岁。急性弥漫性腹膜炎观察2小时后病情无缓解，腹胀加重，但病因仍难以确定。根据患者情况，下列治疗措施，不宜采取的是
 ->A. 立即进行剖腹探查
   B. 纠正水电解质、酸碱代谢失调
   C. 禁食、胃肠减压、补充能量、营养支持
   D. 应用广谱抗生素
   E. 通过辅助检查尽可能明确病因

306. 男性，26岁。突然上腹剧痛，不能直腰1小时就诊。查体：P100次/分，BP110/80 mmHg。急性痛苦面容。全腹压痛、反跳痛和肌紧张明显，以剑突下为甚，肝浊音界于右锁骨中线第5肋间消失，肠鸣音减弱。血常规检查：WBC10.6×10<sup>9</sup>/L，N86%，Hb91 g/dl。血、尿淀粉酶正常。对诊断有意义而又简单的检查方法首选
   A. 腹部CT
 ->B. 立位腹部X线平片
   C. 腹部B超
   D. 腹腔灌洗
   E. 腹部MRI

307. 患者男性，25岁。因车祸致脑外伤2h到我院患诊，有短暂昏迷史，左侧额颞部着地，头痛，恶心，未呕吐。查体：神志清楚，对答切题，四肢活动自如，神经系统（-），急诊头颅CT未发现异常。最可能的诊断是
   A. 开发性颅脑损伤
 ->B. 脑震荡
   C. 脑挫裂伤
   D. 弥漫性轴索损伤
   E. 外伤性蛛网膜下腔出

308. 男性，50岁。1小时前剧烈咳嗽后突发上腹痛，腹痛蔓延至全腹，伴恶心，呕吐。既往有慢性肝炎15年。查体：面色苍白，巩膜不黄，脉搏110次/分，血压13/9.1kPa（95/68 mmHg），腹胀，全腹压痛，轻度反跳痛，肝肋下2 cm，剑突下6 cm，轻触痛，脾未触及。移动性浊音阳性，肠鸣音弱，腹腔穿刺抽出血性液。首先考虑的诊断是
   A. 自发性脾破裂
   B. 肝硬化腹水感染
 ->C. 肝癌自发破裂
   D. 溃疡病急性穿孔
   E. 肝脓肿溃破

309. 女性，32岁。尿急、尿频、尿痛伴发热2天。查体：体温：38.9℃，两肾区叩击痛阳性。血常规：WBC：14×10<sup>9</sup>/L；尿常规：WBC许多，RBC10～20个/HP。下列诊断哪一项可能性最大
   A. 泌尿系结核
   B. 急性膀胱炎
   C. 急性肾小球肾炎
 ->D. 急性肾盂肾炎
   E. 上尿路结石

310. 患者男，30岁。右颈部外伤术后2个月。查体发现右侧瞳孔缩小，上睑下垂，眼球内陷。诊断首先应考虑的是
   A. 合并喉返神经损伤
   B. 合并迷走神经损伤
   C. 合并臂丛神经损伤
 ->D. 合并颈交感神经损伤
   E. 合并膈神经损伤
解析：Horner综合征包括：瞳孔缩小、上睑下垂和眼球内陷，由颈交感神经损伤引起。

311. 女性，30岁。左颈部肿物1年。声音嘶哑2周。检查左甲状腺上极约3 cm×2.5 cm，质硬、边界不清、表面不光滑的肿物，可随吞咽上下移动，颈动脉搏动不易触及，左声带麻痹，可能诊断
 ->A. 左甲状腺癌
   B. 桥本氏病
   C. 左甲状腺腺瘤囊性变
   D. 甲状腺结核
   E. 左颈恶性淋巴瘤

312. 患者男，26岁，突然上腹剧痛，不能直腰，于发病30分钟后来诊，查BP110/80 mmHg，P110次/分，痛苦面容，全腹压痛反跳痛和肌紧张，以剑突下为著，肝浊音界位于右锁骨中线第六肋间，肠鸣音消失，血Hb121 g/L，WBC7.0×10<sup>9</sup>/L，尿淀粉酶128IU/L。进一步有意义的首选检查方法是
   A. 腹部CT
 ->B. 腹部立位平片
   C. 腹部B超
   D. 腹腔灌洗
