1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
解析：该病例的诊断是盆腔子宫内膜异位症，导致了不孕，应手术治疗。手术治疗目的是：①明确诊断及进行临床分期；②清除异位内膜病灶及囊肿；③分离粘连及恢复正常解剖结构；④治疗不孕；⑤缓解和治疗疼痛等症状。手术指征包括附件肿包块、盆腔疼痛及不孕。手术方式有开腹手术和经腹腔镜手术两种，目前认为以腹腔镜确诊、手术+药物为异位症治疗的金标准。

288. 26岁女性，G<sub>1</sub>P<sub>0</sub>，妊娠33周，恶心、上腹不适1周，查肝功能显著异常，凝血功能障碍，相关辅助检查已排除病毒性肝炎、ICP及HELLP等病因，目前诊断考虑AFLP。该患者现无宫缩，胎心、胎动、胎位正常，对于进一步处理，错误的是
   A. 纠正凝血功能障碍，给予保肝等对症支持治疗
 ->B. 加强母儿监测，因妊娠仅33周，目前胎儿无宫内窘迫，应尽量延长孕周至足月
   C. 纠正凝血功能障碍后立即终止妊娠
   D. 分娩方式选择剖宫产
   E. 以上都是错误的

289. 女性，29岁，原发不孕3年。基础体温呈单相型，经前5天取宫颈黏液，其特征应是
   A. 量少黏稠
   B. 量少稀薄
   C. 量多黏稠
 ->D. 量多稀薄
   E. 量极少，不易取出

290. 女性，38岁，G<sub>2</sub>P<sub>1</sub>A1L1：，因右侧卵巢肿瘤8 cm，行腹腔镜手术，术中冰冻病理为浆液性乳头状囊腺癌，手术-病理分期为Ⅰc，手术方案为
   A. 改为开腹手术
   B. 右附件切除
 ->C. 分期手术
   D. 子宫+右附件切除术
   E. 子宫+双附件+大网膜切除术

291. 产妇，31岁，G<sub>1</sub>P<sub>0</sub>，停经34周，自述阴道流液2小时入院，无腹痛，以下说法不正确的是
 ->A. 羊水检查无论发现有无肺成熟，均应马上应用糖皮质激素
   B. 无论产妇有无发热，均预防性应用抗生素
   C. 早产是该产妇最常见的并发症
   D. 可以应用宫缩抑制剂硫酸镁或盐酸利托君
   E. 如有感染征象，应立即终止妊娠

292. 女性，28岁，产后42天复查，现哺乳，自觉无不适，查体见阴道、宫颈充血，少量分泌物，可能的诊断或处理是
   A. 滴虫性阴道炎
   B. 细菌性阴道炎
   C. 萎缩性阴道炎
   D. 非特异性阴道炎
 ->E. 观察，无需治疗

293. 女性，42岁，已婚。因外阴白色病变而做外阴活检，病理报告为“外阴上皮非典型轻度增生”是指下列哪种情况
   A. 外阴上皮增生性营养不良
   B. 外阴上皮硬化苔藓性营养不良
   C. 外阴上皮混合型营养不良
   D. 异型细胞局限于表层浅部上1/3
 ->E. 异型细胞局限于表层深部下1/3

294. 女性，56岁，自然绝经3年，阴道不规则出血1个月。妇科检查：外阴、阴道未见异常，宫颈光滑，子宫大小正常，双侧附件区未及包块。该患者首先考虑
   A. 老年性阴道炎
   B. 更年期功能失调性子宫出血
 ->C. 子宫内膜癌
   D. 宫颈癌
   E. 子宫内膜炎

295. 女性，30岁。G<sub>2</sub>P<sub>1</sub>，1年前因中央型前置胎盘行子宫体部剖宫产，现妊娠7个月，6小时前突感剧烈腹痛，头晕，大汗淋漓，胎动停止，胎心音消失，胎体漂浮感，左下腹可扪及妊娠4个月子宫大小硬块，移动性浊音（+），最可能的诊断是
   A. 先兆子宫破裂
   B. 腹腔妊娠
 ->C. 子宫破裂
   D. 胎盘早剥
   E. 子宫不完全破裂

296. 女性，18岁，因卵巢肿瘤8 cm，手术治疗，术中探查右侧结肠沟、大网膜散在粟粒样结节，活检快速病理提示“卵巢无性细胞瘤”。决定手术方式为
   A. 患侧附件切除
   B. 患侧附件切除+大网膜
 ->C. 患侧附件切除+大网膜+肉眼可见癌灶切除+盆腔及腹主动脉旁淋巴结清扫
   D. 患侧附件切除+转移粟粒样结节切除
   E. 双附件切除+子宫+大网膜+肉眼可见癌灶切除+盆腔及腹主动脉旁淋巴结清扫
解析：由于恶性卵巢生殖细胞肿瘤多为单侧发病，即使复发也很少累及对侧卵巢和子宫，而且卵巢恶性生殖细胞肿瘤对化疗十分敏感。因此对于希望生育的年轻患者无论期别早晚，只要对侧卵巢和子宫未受肿瘤累及，可考虑行保留生育功能的手术，同时行全面分期手术。

297. 初产妇24岁，G<sub>2</sub>P<sub>0</sub>，孕38周，宫口开全3 h，胎膜已破，羊水Ⅲ度污染，胎心140次/分，估计胎儿体重3000 g，阴道检查：宫口开全，胎头S+3，胎方位LOA，骨盆无明显狭窄。下列哪项表述不恰当
   A. 该病例中宫口开全，无明显头盆不称，可选择行低位产钳助产
   B. 需具备新生儿复苏的人员和设备支持
 ->C. 若胎先露+2以上，也可选择行低位产钳助产
   D. 可选择行胎头吸引术
   E. 应充分医患沟通，签署知情同意书

298. 女性，21岁，停经68天，超声提示宫内早孕，行负压吸引术过程中，发现宫颈3点处裂伤1 cm，有活动性出血。以下处理正确的是
   A. 输注止血药如氨甲环酸
   B. 阴道内填塞纱布压迫
 ->C. 采用可吸收线缝合修补
   D. 裂口处放置云南白药粉
   E. 电凝止血

299. 女，32岁，既往腹膜炎病史，行IVF-ET，取卵术后出现持续性腹痛及恶心，超声检查评估腹腔内出血量约400 ml，之后在观察过程中出现血压下降、脉搏细弱，血色素进行性降低，此时应该
   A. 给予止血药
   B. 卧床休息
   C. 输液、输血治疗
   D. 止血药物治疗
 ->E. 输液输血同时立即手术治疗

300. 女性，40岁。近1个月发现外阴部色素减退，已行外阴活检。下列哪种病变是外阴癌的癌前病变
   A. 外阴增生型营养不良
   B. 外阴硬化苔藓型营养不良
   C. 外阴混合型营养不良
   D. 外阴白化病
 ->E. 外阴增生型或混合型营养不良伴上皮不典型增生

301. 女性，27岁，昨晚跳舞后突感右下腹痛剧烈，伴恶心，畏冷，无发热，月经正常。查体：T37.2℃，右下腹有压痛，子宫前位，正常大，右宫角处压痛明显，右附件区触及一个张力大的囊性肿物，约5cm×6cm×4cm大小，轻压痛。其最可能的诊断是
   A. 阑尾周围脓肿
   B. 输卵管脓肿
   C. 输卵管妊娠
 ->D. 卵巢囊肿蒂扭转
   E. 卵巢囊肿感染

302. 42岁，外阴严重瘙痒3年余，外阴皮肤增厚，并出现不同程度的破损、皲裂、隆起。该病人应首选哪项检查
   A. 刮片细胞学检查
   B. 分泌物细菌学检查
   C. 阴道镜检查
 ->D. 活组织病理检查
   E. B超检查

303. 女性，30岁，孕3产0，孕37+2周，阴道流水12小时，无腹坠。T36.6℃，P100次/分，BP110/80 mmHg，心肺未见其他异常，腹部无压痛，入院后阴道间断流水，可见胎脂，无异味，血WBC10×10<sup>9</sup>/L，同时各项检查证实胎儿状况良好存活，胎儿大小与实际孕周相符，最恰当的处理是
   A. 不予处理顺其自然
 ->B. 抗生素预防感染，观察12小时，如未临产进行引产
   C. 期待疗法，包括抑制子宫收缩、预防感染和促进胎肺成熟等综合治疗措施
   D. 立即剖宫产
   E. 观察24小时，如未临产行剖宫产
解析：破膜12小时以上者应预防性使用抗生素，因多数医疗单位对亚临床感染难以及时诊断。

304. 初产妇，24岁，孕39周，规律宫缩10 h，胎心143次/分，宫口开3 cm，先露头，S-2，骨盆外测量正常，产妇精神疲倦，此时最恰当的处理方式为
   A. 人工破膜
   B. 静滴缩宫素
   C. 剖宫产术
 ->D. 肌注哌替啶100 mg
   E. 不处理，继续观察

305. 30岁，初产妇，孕早期曾口服“感冒药物”，产科B超进行胎儿大畸形筛查的孕周为
   A. 8～12周
   B. 12～18周
 ->C. 18～24周
   D. 24～28周
   E. 28～32周

306. 女性，50岁，孕3产2，月经周期不规则伴经量增多1年，月经来潮后2小时行诊断性刮宫病理结果示：子宫内膜腺上皮呈高柱状，为假复层上皮，核分裂相增多，腺体呈弯曲状，间质细胞呈星状，并相互结合成网状，组织内水肿明显，小动脉增生，呈弯曲状。应诊断为
   A. 子宫内膜癌
   B. 子宫内膜不典型增生
   C. 子宫内膜炎
 ->D. 无排卵性功血
   E. 排卵性功血

307. 经产妇，31岁，39周妊娠。主诉宫缩痛，宫缩每3～4分钟1次，宫口从1 cm扩张至2 cm，用时超过3小时，估计胎儿体重3600 g。下一步正确处理是
   A. 行剖宫产术
   B. 静脉滴注缩宫素
 ->C. 不需干涉产程进展，继续观察
   D. 胎儿头皮血pH检测
   E. 鼻内促性腺激素治疗
解析：患者处于潜伏期，潜伏期最长时限为16小时，患者目前状态正常，属于正常分娩，应继续观察产程变化。胎儿头皮血pH监测是从胎儿头皮取少量血液以评估胎儿酸血症，判断胎儿是否缺氧。

308. 女性，27岁，孕6个月余，白带多，尿频、尿急、尿痛一天，查体见阴道内大量脓性分泌物，取宫颈管处分泌物涂片，在多核白细胞内发现多个革兰阴性双球菌，可做出妊娠合并淋病的初步诊断，下列哪项叙述是不恰当的
   A. 妊娠早期感染淋菌可导致感染性流产与人工流产后感染
   B. 以宫颈管受感染最为多见
 ->C. 妊娠中期的淋菌感染对妊娠预后没有影响
   D. 妊娠晚期合并淋病易引起胎膜早破
   E. 妊娠期感染淋菌易导致胎儿宫内感染

309. 女性，28岁，月经不规律，停经60天，B超检查证实宫内妊娠，妊娠囊2.3 cm，既往有哮喘病史，现要求终止妊娠，最合适的方法是
   A. 米非司酮配伍米索前列醇
 ->B. 负压吸引术
   C. 依沙吖啶宫腔内注射
   D. 缩宫素引产
   E. 钳刮术
解析：该患者尽管停经60天，但妊娠囊＜2.4 cm（提示实际妊娠天数＞49天）适合药物流产，但是米非司酮具有抗糖皮质激素的作用，可以诱发哮喘发作，所以行负压吸引术较为合适。

310. 女性生殖器结核最常表现为
   A. 子宫内膜结核
   B. 卵巢结核
   C. 外阴结核
 ->D. 输卵管结核
   E. 子宫颈结核

311. 妊娠合并糖尿病患者，39周妊娠临产。产程观察中处理不正确的是
   A. 临产后仍采用糖尿病饮食
   B. 产程中一般停用皮下注射胰岛素
   C. 孕前糖尿病者血糖的调整通过静脉输液调整胰岛素用量
 ->D. 血糖＜5.6 mmol/L，不用胰岛素
   E. 产程不宜过长

312. 女，32岁，经产妇，既往有神经管畸形胎儿优生引产病史，本次妊娠前最主要补充何种微量元素
 ->A. 叶酸
   B. 碘
   C. 钙
   D. 铁
   E. 镁

313. 初产妇，24岁，孕39周，规律宫缩10 h，胎心143次/分，宫口开3 cm，先露头，S-2，骨盆外测量正常，产妇精神疲倦，此时最恰当的处理方式为
   A. 人工破膜
   B. 静滴缩宫素
   C. 剖宫产术
 ->D. 肌注哌替啶100 mg
   E. 不处理，继续观察

314. 患者35岁。进行性痛经10年，婚后6年未孕，妇科检查：宫骶韧带处可触及花生米大触痛结节3个，连接成片，右附件区可触及一5cm×5cm大小囊性包块，活动差，最有效的确诊方法是
   A. B超
   B. 诊断性刮宫
   C. 宫腔镜
 ->D. 腹腔镜检查+组织病理学检查
   E. CA125

315. 经产妇，31岁，39周妊娠。主诉宫缩痛，宫缩每3～4分钟1次，宫口从1 cm扩张至2 cm，用时超过3小时，估计胎儿体重3600 g。下一步正确处理是
   A. 行剖宫产术
   B. 静脉滴注缩宫素
 ->C. 不需干涉产程进展，继续观察
   D. 胎儿头皮血pH检测
   E. 鼻内促性腺激素治疗
解析：患者处于潜伏期，潜伏期最长时限为16小时，患者目前状态正常，属于正常分娩，应继续观察产程变化。胎儿头皮血pH监测是从胎儿头皮取少量血液以评估胎儿酸血症，判断胎儿是否缺氧。

316. 女性不孕最常见的原因是
 ->A. 输卵管因素
   B. 子宫因素
   C. 排卵因素
   D. 宫颈因素
   E. 阴道因素

317. 初产妇，24岁，足月妊娠，宫口开全1.5 h尚未分娩。阴道检查：头先露，宫口开全，胎头位于坐骨棘水平下3 cm，枕左横位（LOT），胎膜已破，羊水清，胎心率140次/分，估计胎儿重3200 g。本例正确处理应是
   A. 行剖宫产术
   B. 缩宫素静脉滴注
 ->C. 等待阴道自然分娩
   D. 徒手将胎头枕部转向前方，然后阴道分娩
   E. 行产钳助产术

318. 孕妇30周妊娠，产前检查一切正常，以下方法不能作为预测其早产发生的是
   A. 高危评分法
 ->B. 羊水L/S
   C. B超检查
   D. 胎儿纤维连接蛋白
   E. 胰岛素样生长因子结合蛋白-1
解析：胎心监护描记胎心率基线的变化和胎心率与胎动、宫缩的关系，以估计胎儿的安危状况。B超检查宫颈管的长度和宫颈内口形状可以预测早产的发生。羊水L/S是胎肺成熟度的方法。

319. 孕37周子痫前期（重度）患者，病情尚稳定，较好的处理是
   A. 立即引产，尽快终止妊娠
   B. 立即剖宫产以终止妊娠
 ->C. 积极治疗24 ～48 h后，引产终止妊娠
   D. 积极治疗恢复正常后引产终止妊娠
   E. 积极治疗好转1周后引产终止妊娠

320. 孕妇，25岁， G<sub>2</sub>P<sub>0</sub>，32周妊娠，无痛性阴道流血约400 ml 入院，初步诊断为前置胎盘。问前置胎盘指胎盘部分或全部附着于
   A. 子宫底部
   B. 子宫前壁
   C. 子宫后壁
   D. 子宫侧壁
 ->E. 子宫颈内口

321. 女性26岁，诊断为沙眼衣原体感染性宫颈炎，予以阿奇霉素治愈，关于随访正确的是
   A. 应在48 h内随诊
   B. 应在72 h内随诊
   C. 治疗后2周复查沙眼衣原体
 ->D. 治疗后3个月复查沙眼衣原体
   E. 不用复查
解析：女性衣原体再感染较多见，对于高风险者务必随访。应于治疗后3～4个月行CT检测，以发现可能的再感染，防止盆腔炎性疾病和其他并发症的发生。本题强调的是随访时间，不是判愈试验的时间。

322. 孕妇，24岁，G<sub>1</sub>P<sub>1</sub>，36周妊娠，“先兆子痫”入院。入院后 2天，经治疗血压持续在21.95/15.96 kPa（165/120 mmHg），感视物模糊，现自数胎动减少，做NST为无反应型，再作B型超声生物物理评分为4分。下列哪项处理正确
 ->A. 立即终止妊娠
   B. 继续治疗妊娠高血压综合征至妊娠37周
   C. 次日复查NST
   D. 吸氧观察
   E. 做OCT尿雌激素与肌酐的比值（E/C）  C，羊水脂肪细胞出现率

323. 女性，25岁，孕9周，外阴瘙痒2天，追问病史有不洁性生活史。妇科检查：外阴皮肤、黏膜充血，阴唇后联合及肛周见多个呈簇状粉色菜花状疣，有刺样突起，5%醋酸白实验（+），本患者可能的诊断是妊娠合并
   A. 外阴白色病变
   B. 念珠菌阴道炎
   C. 滴虫阴道炎
 ->D. 尖锐湿疣
   E. 梅毒

324. 女性生殖器官中最常见的良性肿瘤是
   A. 外阴乳头状瘤
 ->B. 子宫肌瘤
   C. 卵巢良性畸胎瘤
   D. 卵巢浆液性囊腺瘤
   E. 卵巢黏液性囊腺瘤

325. 患者女，33岁。既往体健，妊娠4个月余，血压170/126mmHg，心率100次/分。下列该患者高血压的并发症，不正确的是
   A. 惊厥
   B. 胎儿死亡率高
   C. 肾功能损害多见
 ->D. 右心衰竭常见
   E. 易发生左心衰竭

326. 26岁女性，G<sub>1</sub>P<sub>0</sub>，妊娠33周，恶心、上腹不适1周，查肝功能显著异常，凝血功能障碍，相关辅助检查已排除病毒性肝炎、ICP及HELLP等病因，目前诊断考虑AFLP。该患者现无宫缩，胎心、胎动、胎位正常，对于进一步处理，错误的是
   A. 纠正凝血功能障碍，给予保肝等对症支持治疗
